Date,USDINR,USDJPY,USDGBP,USDEUR,USDCHF
2024-02,-1.17,5.43,0.08,0.83,3.58
2024-03,-1.17,5.23,0.08,0.83,3.83
2024-04,-1.17,5.23,0.08,0.83,3.83
2024-05,-1.17,5.23,0.08,0.83,3.83
2024-06,-1.17,5.23,0.08,1.08,4.08
2024-07,-1.17,5.23,0.08,1.08,4.08
2024-08,-1.17,5.08,0.33,1.08,4.08
2024-09,-1.37,4.88,0.13,1.48,4.13
2024-10,-1.67,4.58,-0.17,1.43,3.83
2024-11,-1.86,4.39,-0.11,1.24,3.64
2024-12,-2.02,4.23,-0.27,1.33,3.98
2025-01,-2.17,3.83,-0.42,1.18,3.83
2025-02,-1.92,3.83,-0.17,1.43,3.83
2025-03,-1.92,3.83,-0.17,1.68,4.08
2025-04,-1.67,3.83,-0.17,1.93,4.08
2025-05,-1.67,3.83,0.08,1.93,4.08
2025-06,-1.17,3.83,0.08,2.18,4.33
2025-07,-1.17,3.83,0.08,2.18,4.33
